symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2020-06-02 00:00:00+00:00,2.99,3.26,2.93,3.1,285631,2.99,3.26,2.93,3.1,285631,0.0,1.0
TCS,2020-06-03 00:00:00+00:00,3.13,3.25,3.11,3.2,248889,3.13,3.25,3.11,3.2,248889,0.0,1.0
TCS,2020-06-04 00:00:00+00:00,3.25,3.36,3.0401,3.05,186020,3.25,3.36,3.0401,3.05,186020,0.0,1.0
TCS,2020-06-05 00:00:00+00:00,3.64,3.8,3.45,3.48,405129,3.64,3.8,3.45,3.48,405129,0.0,1.0
TCS,2020-06-08 00:00:00+00:00,3.9,4.03,3.7794,3.8,386629,3.9,4.03,3.7794,3.8,386629,0.0,1.0
TCS,2020-06-09 00:00:00+00:00,3.86,3.96,3.47,3.85,332815,3.86,3.96,3.47,3.85,332815,0.0,1.0
TCS,2020-06-10 00:00:00+00:00,3.45,3.86,3.09,3.86,398302,3.45,3.86,3.09,3.86,398302,0.0,1.0
TCS,2020-06-11 00:00:00+00:00,2.73,3.1199,2.7,2.9,531188,2.73,3.1199,2.7,2.9,531188,0.0,1.0
TCS,2020-06-12 00:00:00+00:00,3.27,3.44,2.9,2.95,459428,3.27,3.44,2.9,2.95,459428,0.0,1.0
TCS,2020-06-15 00:00:00+00:00,3.19,3.35,2.95,3.0,214841,3.19,3.35,2.95,3.0,214841,0.0,1.0
TCS,2020-06-16 00:00:00+00:00,3.36,3.47,3.2101,3.4,306939,3.36,3.47,3.2101,3.4,306939,0.0,1.0
TCS,2020-06-17 00:00:00+00:00,3.21,3.36,3.11,3.35,200193,3.21,3.36,3.11,3.35,200193,0.0,1.0
TCS,2020-06-18 00:00:00+00:00,3.22,3.41,3.06,3.12,142633,3.22,3.41,3.06,3.12,142633,0.0,1.0
TCS,2020-06-19 00:00:00+00:00,3.18,3.44,3.15,3.26,260441,3.18,3.44,3.15,3.26,260441,0.0,1.0
TCS,2020-06-22 00:00:00+00:00,3.02,3.25,2.97,3.08,233876,3.02,3.25,2.97,3.08,233876,0.0,1.0
TCS,2020-06-23 00:00:00+00:00,3.14,3.24,3.0671,3.1,178406,3.14,3.24,3.0671,3.1,178406,0.0,1.0
TCS,2020-06-24 00:00:00+00:00,3.0,3.15,2.88,3.1,199384,3.0,3.15,2.88,3.1,199384,0.0,1.0
TCS,2020-06-25 00:00:00+00:00,2.99,3.02,2.86,2.92,164067,2.99,3.02,2.86,2.92,164067,0.0,1.0
TCS,2020-06-26 00:00:00+00:00,3.14,3.2,2.83,2.94,579758,3.14,3.2,2.83,2.94,579758,0.0,1.0
TCS,2020-06-29 00:00:00+00:00,3.16,3.37,2.99,2.99,224500,3.16,3.37,2.99,2.99,224500,0.0,1.0
TCS,2020-06-30 00:00:00+00:00,3.24,3.3,3.07,3.22,160400,3.24,3.3,3.07,3.22,160400,0.0,1.0
TCS,2020-07-01 00:00:00+00:00,3.24,3.31,3.18,3.28,86600,3.24,3.31,3.18,3.28,86600,0.0,1.0
TCS,2020-07-02 00:00:00+00:00,3.21,3.35,3.14,3.3,165400,3.21,3.35,3.14,3.3,165400,0.0,1.0
TCS,2020-07-06 00:00:00+00:00,3.44,3.47,3.21,3.21,198600,3.44,3.47,3.21,3.21,198600,0.0,1.0
TCS,2020-07-07 00:00:00+00:00,3.31,3.46,3.27,3.46,186700,3.31,3.46,3.27,3.46,186700,0.0,1.0
TCS,2020-07-08 00:00:00+00:00,4.19,4.54,3.34,3.35,4749400,4.19,4.54,3.34,3.35,4749400,0.0,1.0
TCS,2020-07-09 00:00:00+00:00,3.77,4.39,3.75,4.28,896700,3.77,4.39,3.75,4.28,896700,0.0,1.0
TCS,2020-07-10 00:00:00+00:00,4.1,4.19,3.81,3.81,344400,4.1,4.19,3.81,3.81,344400,0.0,1.0
TCS,2020-07-13 00:00:00+00:00,3.72,4.2,3.71,4.2,437300,3.72,4.2,3.71,4.2,437300,0.0,1.0
TCS,2020-07-14 00:00:00+00:00,3.95,4.09,3.79,3.9,336400,3.95,4.09,3.79,3.9,336400,0.0,1.0
TCS,2020-07-15 00:00:00+00:00,4.2,4.3,4.03,4.05,382400,4.2,4.3,4.03,4.05,382400,0.0,1.0
TCS,2020-07-16 00:00:00+00:00,4.2,4.29,3.98,4.17,215700,4.2,4.29,3.98,4.17,215700,0.0,1.0
TCS,2020-07-17 00:00:00+00:00,4.18,4.4,4.17,4.2,189900,4.18,4.4,4.17,4.2,189900,0.0,1.0
TCS,2020-07-20 00:00:00+00:00,4.14,4.52,4.1,4.18,370270,4.14,4.52,4.1,4.18,370270,0.0,1.0
TCS,2020-07-21 00:00:00+00:00,4.24,4.39,4.16,4.16,207334,4.24,4.39,4.16,4.16,207334,0.0,1.0
TCS,2020-07-22 00:00:00+00:00,4.31,4.45,4.19,4.19,195255,4.31,4.45,4.19,4.19,195255,0.0,1.0
TCS,2020-07-23 00:00:00+00:00,4.27,4.43,4.2,4.32,163584,4.27,4.43,4.2,4.32,163584,0.0,1.0
TCS,2020-07-24 00:00:00+00:00,4.24,4.39,4.21,4.29,169567,4.24,4.39,4.21,4.29,169567,0.0,1.0
TCS,2020-07-27 00:00:00+00:00,4.22,4.34,4.17,4.29,152555,4.22,4.34,4.17,4.29,152555,0.0,1.0
TCS,2020-07-28 00:00:00+00:00,4.27,4.34,4.19,4.3,436502,4.27,4.34,4.19,4.3,436502,0.0,1.0
TCS,2020-07-29 00:00:00+00:00,3.63,4.3,3.57,4.21,792595,3.63,4.3,3.57,4.21,792595,0.0,1.0
TCS,2020-07-30 00:00:00+00:00,3.7,3.74,3.55,3.71,259405,3.7,3.74,3.55,3.71,259405,0.0,1.0
TCS,2020-07-31 00:00:00+00:00,3.45,3.66,3.36,3.65,331642,3.45,3.66,3.36,3.65,331642,0.0,1.0
TCS,2020-08-03 00:00:00+00:00,3.5,3.54,3.35,3.42,234342,3.5,3.54,3.35,3.42,234342,0.0,1.0
TCS,2020-08-04 00:00:00+00:00,3.22,3.34,3.12,3.31,403466,3.22,3.34,3.12,3.31,403466,0.0,1.0
TCS,2020-08-05 00:00:00+00:00,3.3,3.32,3.22,3.28,103860,3.3,3.32,3.22,3.28,103860,0.0,1.0
TCS,2020-08-06 00:00:00+00:00,3.2,3.32,3.16,3.28,121905,3.2,3.32,3.16,3.28,121905,0.0,1.0
TCS,2020-08-07 00:00:00+00:00,3.32,3.4,3.2,3.21,138783,3.32,3.4,3.2,3.21,138783,0.0,1.0
TCS,2020-08-10 00:00:00+00:00,3.42,3.52,3.3,3.3,207117,3.42,3.52,3.3,3.3,207117,0.0,1.0
TCS,2020-08-11 00:00:00+00:00,3.34,3.52,3.34,3.42,92906,3.34,3.52,3.34,3.42,92906,0.0,1.0
TCS,2020-08-12 00:00:00+00:00,3.39,3.42,3.26,3.39,124366,3.39,3.42,3.26,3.39,124366,0.0,1.0
TCS,2020-08-13 00:00:00+00:00,3.39,3.4,3.31,3.39,102976,3.39,3.4,3.31,3.39,102976,0.0,1.0
TCS,2020-08-14 00:00:00+00:00,3.48,3.49,3.34,3.37,144195,3.48,3.49,3.34,3.37,144195,0.0,1.0
TCS,2020-08-17 00:00:00+00:00,3.48,3.574,3.38,3.52,148204,3.48,3.574,3.38,3.52,148204,0.0,1.0
TCS,2020-08-18 00:00:00+00:00,3.38,3.5,3.37,3.49,73823,3.38,3.5,3.37,3.49,73823,0.0,1.0
TCS,2020-08-19 00:00:00+00:00,3.64,3.69,3.35,3.35,303402,3.64,3.69,3.35,3.35,303402,0.0,1.0
TCS,2020-08-20 00:00:00+00:00,3.81,3.95,3.57,3.58,270653,3.81,3.95,3.57,3.58,270653,0.0,1.0
